loc,objTSizeLarge,"repoName"
/data/github_go/repos/awesome-golang-algorithm/leetcode/1101-1200/1161.Maximum-Level-Sum-of-a-Binary-Tree/Solution.go@24:3:24:25,true,awesome-golang-algorithm
/data/github_go/repos/awesome-golang-algorithm/leetcode/901-1000/0958.Check-Completeness-of-a-Binary-Tree/Solution.go@13:3:13:15,true,awesome-golang-algorithm
/data/github_go/repos/aws-nuke/resources/elb-elb.go@62:3:62:39,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/elbv2-alb.go@69:3:69:53,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/elbv2-targetgroup.go@61:3:61:75,false,aws-nuke
/data/github_go/repos/aws-nuke/resources/s3-buckets.go@191:3:191:33,true,aws-nuke
/data/github_go/repos/aws-sdk-go/service/s3/s3manager/batch.go@171:3:171:33,true,aws-sdk-go
/data/github_go/repos/badger/db.go@1129:4:1129:22,true,badger
/data/github_go/repos/beats/libbeat/common/match/optimize.go@92:3:92:23,true,beats
/data/github_go/repos/beats/libbeat/outputs/shipper/shipper.go@245:3:245:46,true,beats
/data/github_go/repos/beats/libbeat/publisher/pipeline/consumer.go@167:5:167:35,true,beats
/data/github_go/repos/beats/libbeat/publisher/queue/diskqueue/core_loop.go@155:3:155:57,true,beats
/data/github_go/repos/beats/libbeat/publisher/queue/diskqueue/core_loop.go@357:4:357:48,true,beats
/data/github_go/repos/beats/libbeat/publisher/queue/diskqueue/queue.go@190:3:190:39,true,beats
/data/github_go/repos/beego/server/web/server.go@393:7:393:83,true,beego
/data/github_go/repos/benthos/internal/autoretry/auto_retry_list.go@189:4:189:38,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_kinesis.go@533:9:533:31,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_s3.go@397:2:397:26,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_s3.go@430:3:430:27,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_s3.go@454:2:454:26,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_s3.go@635:4:635:84,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/input_sqs.go@309:4:309:32,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/metrics_cloudwatch.go@469:5:469:91,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_kinesis.go@215:3:215:93,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_kinesis.go@270:5:270:95,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_kinesis_firehose.go@176:3:176:93,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_kinesis_firehose.go@225:5:225:95,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_sqs.go@261:3:261:85,true,benthos
/data/github_go/repos/benthos/internal/impl/aws/output_sqs.go@326:5:326:95,true,benthos
/data/github_go/repos/benthos/internal/impl/azure/input_blob_storage.go@256:2:256:26,true,benthos
/data/github_go/repos/benthos/internal/impl/discord/input.go@149:6:149:20,true,benthos
/data/github_go/repos/benthos/internal/impl/gcp/input_cloud_storage.go@245:2:245:26,true,benthos
/data/github_go/repos/bleve/index_alias_impl.go@530:3:530:30,true,bleve
/data/github_go/repos/bosun/cmd/backfill/main.go@125:4:125:20,true,bosun
/data/github_go/repos/bosun/collect/queue.go@62:3:62:19,true,bosun
/data/github_go/repos/bosun/collect/queue.go@79:4:79:20,true,bosun
/data/github_go/repos/boulder/cmd/expiration-mailer/main.go@281:3:281:22,true,boulder
/data/github_go/pattern/newHaveRepos/btcd/txscript/sighash.go@166:3:166:40,true,btcd
/data/github_go/pattern/newHaveRepos/buildkit/client/status.go@103:5:103:27,true,buildkit
/data/github_go/pattern/newHaveRepos/buildkit/solver/exporter.go@125:4:125:44,true,buildkit
/data/github_go/pattern/newHaveRepos/buildkit/solver/exporter.go@146:5:146:45,true,buildkit
/data/github_go/pattern/newHaveRepos/buildkit/util/network/cniprovider/cni.go@138:3:138:37,true,buildkit
/data/github_go/pattern/newHaveRepos/buildkit/util/network/cniprovider/cni.go@236:3:236:37,true,buildkit
/data/github_go/pattern/newHaveRepos/buildkit/util/progress/progressui/display.go@1102:3:1102:34,true,buildkit
/data/github_go/repos/bytebase/backend/plugin/parser/sql/engine/pg/convert.go@1597:4:1597:26,true,bytebase
/data/github_go/repos/bytebase/backend/plugin/parser/sql/engine/pg/convert.go@1804:3:1804:13,true,bytebase
/data/github_go/repos/bytebase/backend/plugin/parser/sql/engine/pg/convert.go@1814:3:1814:13,true,bytebase
/data/github_go/repos/cadence/common/archiver/filestore/historyArchiver.go@259:2:259:53,true,cadence
/data/github_go/repos/cadence/common/archiver/gcloud/historyArchiver.go@257:3:257:42,true,cadence
/data/github_go/repos/cadence/service/frontend/workflowHandler.go@2490:5:2490:50,true,cadence
/data/github_go/repos/cadence/service/frontend/workflowHandler.go@2493:5:2493:59,true,cadence
/data/github_go/repos/cadence/service/history/execution/mutable_state_builder.go@1977:3:1977:39,true,cadence
/data/github_go/repos/calico/felix/timeshim/mocktime/mocktime.go@182:3:182:25,true,calico
/data/github_go/repos/cayley/graph/kv/all_iterator.go@156:4:156:22,true,cayley
/data/github_go/repos/cayley/graph/kv/all_iterator.go@158:26:158:44,true,cayley
/data/github_go/repos/cayley/graph/kv/quad_iterator.go@201:4:201:40,true,cayley
/data/github_go/repos/cayley/graph/kv/quad_iterator.go@203:26:203:62,true,cayley
/data/github_go/repos/cfssl/bundler/bundler.go@409:43:409:61,true,cfssl
/data/github_go/repos/cfssl/bundler/bundler.go@549:4:549:20,true,cfssl
/data/github_go/repos/cilium/pkg/fqdn/cache.go@963:3:963:27,true,cilium
/data/github_go/repos/cilium/pkg/ip/ip.go@581:3:581:25,true,cilium
/data/github_go/repos/client/go/kbfs/search/indexer.go@1165:3:1165:23,true,client
/data/github_go/repos/client/go/libkb/identify3.go@311:2:311:42,true,client
/data/github_go/repos/client/go/stellar/global.go@537:3:537:51,true,client
/home/lqw/go/src/github.com/keybase/client/go/stellar/global.go@537:3:537:51,false,client
/data/github_go/repos/cloudflared/h2mux/h2_dictionaries.go@199:3:199:23,true,cloudflared
/data/github_go/repos/cockroach/pkg/ccl/backupccl/restore_job.go@2054:3:2054:39,false,cockroach
/data/github_go/repos/cockroach/pkg/ccl/streamingccl/streamingest/stream_ingestion_processor.go@898:3:898:17,true,cockroach
/data/github_go/repos/cockroach/pkg/col/colserde/arrowbatchconverter.go@113:3:113:39,true,cockroach
/data/github_go/repos/cockroach/pkg/jobs/registry.go@393:3:393:33,true,cockroach
/data/github_go/repos/cockroach/pkg/kv/bulk/sst_batcher.go@766:3:766:17,true,cockroach
/data/github_go/repos/cockroach/pkg/kv/kvserver/replica_proposal_quota.go@249:3:249:63,true,cockroach
/data/github_go/repos/cockroach/pkg/sql/opt/optgen/cmd/optgen/factory_gen.go@373:6:373:34,true,cockroach
/data/github_go/repos/cockroach/pkg/sql/rowflow/input_sync.go@326:3:326:50,true,cockroach
/data/github_go/repos/cockroach/pkg/sql/schemachanger/scplan/internal/scstage/stage.go@249:5:249:21,true,cockroach
/data/github_go/repos/cockroach/pkg/util/interval/btree_based_interval.go@205:3:205:48,true,cockroach
/data/github_go/repos/cockroach/pkg/util/log/buffered_sink.go@452:2:452:28,true,cockroach
/data/github_go/pattern/newHaveRepos/codeforces-go/copypasta/acam.go@183:3:183:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/copypasta/acam.go@298:3:298:11,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/testutil/predefined_type.go@42:2:42:31,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/testutil/predefined_type.go@46:5:46:39,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/testutil/predefined_type.go@49:5:49:40,true,codeforces-go
/data/github_go/pattern/newHaveRepos/codeforces-go/leetcode/testutil/predefined_type.go@60:3:60:32,true,codeforces-go
